ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D267249,思方隆（北京）医药有限公司六分店,A,4067.664,C700534,思方隆(北京)医药有限公司,北京市朝阳区金台里甲15号二层5柜2组,116.47762,39.917238,False,16.150706321509187,267951,,3,296
D267291,北京普安法玛西医药有限公司复兴门店,B,5254,D047005,北京普安法玛西医药有限公司,普安法玛西(复兴门店),116.47126,39.911389,False,20.73851885188921,344044,,2,297
D267309,北京国康堂金象大药房有限责任公司,B,6193.873,W219032,北京金象大药房医药连锁有限责任公司,北京市丰台区东高地（三角地）47号楼底商,116.422162,39.807039,False,9.746730743388321,159055,,3,298
D267645,北京德威治大药房有限公司土城店,B,14369.768,W219989,北京德威治医药连锁有限责任公司,德威治大药房(土城店),116.432145,39.958829,False,27.13592353453146,444863,,1,299
D267663,北京德威治大药房有限公司双井店,B,11842.983,W219989,北京德威治医药连锁有限责任公司,德威治大药房(双井店),116.374183,39.997878,False,14.564883994862424,235848,,3,300
D268090,北京百合安康医药有限公司,C,2907.663,,,百合安康,116.682159,40.664071,False,0.1581214997693506,591,,4,301
D268571,北京医保全新大药房有限责任公司天坛店,B,9650.149,C700296,北京医保全新大药房有限责任公司,北京市东城区天坛西里9号,116.401294,39.877773,False,31.218263096675923,516665,,1,302
D273770,北京天保堂医药有限公司安德路药店,C,0,D106309,北京恒创佳益医药有限公司,天保堂(安德路药店),116.471862,39.90954,False,20.51648413902911,344044,,2,303
D274733,北京颐寿百姓大药房有限责任公司第三十分店,C,64445.176,C700535,叮当智慧药房(北京)有限公司,北京市海淀区远大园六区沿街商场一层西段101号,116.2868,39.94941,False,19.451262144181058,280511,,2,304
D274751,北京同仁堂京北企业管理有限公司车道沟药店,C,5640.686,W701927,北京同仁堂商业投资集团有限公司,北京市海淀区蓝靛厂南路25号104室,116.29282,39.946298,False,26.504823726365355,440466,,1,305
D274752,北京同仁堂京北企业管理有限公司大钟寺店,C,3975.71,W701927,北京同仁堂商业投资集团有限公司,北京市海淀区北三环西路甲18号中鼎大厦A座盈泰百货一层,116.341116,39.966729,False,31.669610695756656,528255,,1,306
D274753,北京同仁堂大望路药店有限公司,C,13913.485,W701927,北京同仁堂商业投资集团有限公司,北京市朝阳区建国路87号地下一层内B1002-2号,116.47863,39.909535,False,22.19122732493759,362268,,2,307
D274755,北京同仁堂京北企业管理有限公司永定路店,C,7798.064,W701927,北京同仁堂商业投资集团有限公司,北京市海淀区永定路乙1号14号楼41号,116.263823,39.927176,True,27.03245102757048,447785,,1,308
D274763,北京养生堂药店有限公司北京站药店,C,0,C700533,北京养生堂药店有限公司,养生堂药店(站药店),116.39795,39.855441,False,24.762555049003677,415247,,2,309
D274764,北京养生堂药店有限公司回龙观药店,C,15561.875,C700533,北京养生堂药店有限公司,北京市昌平区回龙观镇育知东路30号院5号楼三层01,116.3371,40.072002,False,15.93975713419333,256268,,3,310
D276730,北京京海康佰馨医药有限责任公司第二十分公司,C,6055.341,D201169,北京京海康佰馨医药有限责任公司,北京市朝阳区光华路北3号楼1层3-2,116.468902,39.913709,False,18.32187182225013,302951,,2,311
D276734,北京京海康佰馨医药有限责任公司第二十五分公司,C,11821.688,D201169,北京京海康佰馨医药有限责任公司,北京市海淀区大慧寺12号,116.327684,39.951606,False,22.91038206414121,375810,,2,312
D276736,北京京海康佰馨医药有限责任公司第二十九分公司,C,9475.103,D201169,北京京海康佰馨医药有限责任公司,北京市海淀区民族大学西路66号院1号楼1层A04,116.317344,39.949254,False,21.721654787769147,357539,,2,313
D276743,北京京海康佰馨医药有限责任公司甘露园店,C,5864.944,D201169,北京京海康佰馨医药有限责任公司,京海康佰馨医药(甘露园店),116.463824,40.013027,False,11.73961046961042,192707,,3,314
