ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D089185,北京同仁堂宋庄路药店有限公司,B,0,W701927,北京同仁堂商业投资集团有限公司,北京市丰台区苇子坑148号9号楼一层,116.433467,39.845461,False,19.973343908307815,334936,,2,941
D089186,北京同仁堂连锁药店有限责任公司通朝大街药店,B,7239.913,W701927,北京同仁堂商业投资集团有限公司,北京市通州区通朝大街212号,116.644705,39.891577,True,13.554096854899111,222160,,3,942
D089189,北京医保全新大药房有限责任公司西便门店,B,-2004.131,C700296,北京医保全新大药房有限责任公司,北京市西城区西便门外大街4号,116.353587,39.903572,False,27.748319959322174,466736,,1,943
D100036,北京百姓康利大药房红庙店,C,10174.561,,,北京市朝阳区朝阳路英家坟村6号6号楼1层东侧,116.484489,39.915143,True,16.40878457081661,267951,,3,944
D103340,北京全新同菊堂药店,C,2005.946,,,北京市房山区拱辰街道办事处北大街34号楼101号底商,115.983212,39.709775,False,6.287530768327363,104015,,4,945
D103352,北京御兴堂顺心大药房,C,8963.037,,,北京市房山区窦店镇兴隆庄村一区17号,116.153839,39.640348,False,1.009401394938624,10575,,4,946
D103453,北京市创新众康大药房,C,3852.146,,,市创新众康大药房,116.832633,40.156749,False,2.1529944296768755,33374,,4,947
D103504,北京蒙正医药有限公司,B,39706.35,,,北京市昌平区回龙观镇回龙观西大街18号港龙商业中心I-106,116.331223,40.078307,False,16.07783084809481,241473,,3,948
D103507,北京普乐安康医药有限公司,C,5423.509,,,北京市昌平区昌平镇南环东路28号-11号,116.249185,40.21271,True,9.984015811323655,163580,,3,949
D103516,北京太和仁大药房,A,3979.027,,,北京市朝阳区甜水园东里45号楼1层,116.481156,39.927863,False,17.64828884262378,293127,,2,950
D103544,北京天燕芳渝商贸中心,C,510.946,,,北京市通州区南大街28号,116.668877,39.906588,False,11.402074063144898,190841,,3,951
D105072,北京增光路中洋大药房,C,8015.614,W219991,北京医保中洋大药房有限公司,北京市海淀区增光路27-4号,116.324522,39.928301,False,30.76592412436421,510238,,1,952
D106997,北京养生堂药店有限公司广渠路店,C,0,C700533,北京养生堂药店有限公司,养生堂药店(广渠路店),116.475043,39.893829,False,20.993371757065802,352041,,2,953
D144168,北京源泰堂医药有限公司,C,4023.993,,,北京市海淀区德政路秋露园4号楼1层2号房,116.262282,40.052044,False,6.903252027671135,112910,,4,954
D144171,北京德寿堂药店,C,1643.106,,,德寿堂药店,116.3897,39.890101,False,27.56868499938774,461139,,1,955
